Gene,Effect,HRE
TIMM10,DOWN,YES
AMD1,DOWN,YES
DNAJA1,DOWN,YES
PBX1,DOWN,YES
N-PAC,DOWN,YES
EDEM3,DOWN,YES
HSPA4,DOWN,YES
SENP3,DOWN,YES
STIP1,DOWN,YES
INTS5,DOWN,YES
RFX5,DOWN,YES
BAZ1A,DOWN,YES
RBM10,DOWN,YES
CAMKK2,DOWN,YES
NFIA,DOWN,YES
ILF3,DOWN,YES
GSPT1,DOWN,YES
EIF5A,DOWN,YES
LARP4,DOWN,YES
BCL2L1,DOWN,YES
KLHL22,DOWN,YES
PCDH18,DOWN,YES
RBM25,DOWN,YES
KPNA1,DOWN,YES
MAPRE1,DOWN,YES
PRKAR2A,DOWN,YES
RANGAP1,DOWN,YES
GNA11,DOWN,YES
PCBD2,DOWN,YES
UBE2N,DOWN,YES
HMGB1,DOWN,YES
MYCBP,DOWN,YES
PRMT5,DOWN,YES
CCND1,DOWN,YES
TRIM27,DOWN,YES
SERBP1,DOWN,YES
FH,DOWN,YES
TBCCD1,DOWN,YES
OGDH,DOWN,YES
EIF5B,DOWN,YES
VCP,DOWN,YES
IDE,DOWN,YES
DDX39,DOWN,YES
GALNT7,DOWN,YES
ELAVL1,DOWN,YES
CALM1,DOWN,YES
PAIP1,DOWN,YES
NSMAF,DOWN,YES
SMARCC1,DOWN,YES
ZMYND11,DOWN,YES
SMARCA4,DOWN,YES
XPO7,DOWN,YES
PTPLAD1,DOWN,YES
ARF3,DOWN,YES
EIF2S1,DOWN,YES
ACTR1A,DOWN,YES
RANBP2,DOWN,YES
UBE2L3,DOWN,YES
NUP98,DOWN,YES
ATP2A2,DOWN,YES
DBN1,DOWN,YES
NARG2,DOWN,YES
TIA1,DOWN,YES
KPNA6,DOWN,YES
PPP1R3C,NO,YES
CITED2,NO,YES
HK2,NO,YES
EFNA3,NO,YES
RLF,NO,YES
HOXA4,NO,YES
PGAM1,NO,YES
PDGFB,NO,YES
APOLD1,NO,YES
NRN1,NO,YES
TMEM45A,NO,YES
CA9,NO,YES
APLP1,NO,YES
SIAH2,NO,YES
PAG1,NO,YES
SCN1A,NO,YES
BRSK2,NO,YES
EDN1,NO,YES
PCYT1B,NO,YES
PIM1,NO,YES
SPRY1,NO,YES
TCEAL3,NO,YES
VEGFB,NO,YES
TNFAIP3,NO,YES
PLCH2,NO,YES
BCKDHA,NO,YES
MDGA2,NO,YES
EGFR,NO,YES
HOMER1,NO,YES
PHACTR3,NO,YES
KLF4,NO,YES
ZDHHC9,NO,YES
SPOCK1,NO,YES
FOXD1,NO,YES
KCNG3,NO,YES
MNT,NO,YES
BCL6,NO,YES
RNF165,NO,YES
CAV1,NO,YES
RHOBTB1,NO,YES
FGF11,NO,YES
WEE1,NO,YES
ADCY5,NO,YES
ID2,NO,YES
DSCAML1,NO,YES
XPNPEP1,NO,YES
ZBTB25,NO,YES
BCAR1,NO,YES
SERGEF,NO,YES
GJA1,NO,YES
BCL2L11,NO,YES
DYSF,NO,YES
RASSF1,NO,YES
BMPR2,NO,YES
GRAMD1C,NO,YES
DDN,NO,YES
FLJ23834,NO,YES
IGFBP3,NO,YES
MEGF6,NO,YES
MKNK2,NO,YES
TEX264,NO,YES
NEGR1,NO,YES
IER5L,NO,YES
ZNF653,NO,YES
CDH22,NO,YES
HOXA11,NO,YES
DLL4,NO,YES
PLXND1,NO,YES
SFRS5,NO,YES
MTTP,NO,YES
BBC3,NO,YES
ACVR1B,NO,YES
ZFX,NO,YES
PAPPA,NO,YES
ELOVL4,NO,YES
GNAI1,NO,YES
FIBCD1,NO,YES
AHNAK,NO,YES
DTNA,NO,YES
ELF3,NO,YES
DDX4,NO,YES
ZFY,NO,YES
NRXN2,NO,YES
LOC402573,NO,YES
IGF1R,NO,YES
GPT2,NO,YES
NXPH1,NO,YES
PHF20,NO,YES
RCOR2,NO,YES
BMP2,NO,YES
TBK1,NO,YES
JMY,NO,YES
SEC24A,NO,YES
VAPA,NO,YES
RORC,NO,YES
CHST8,NO,YES
PTBP2,NO,YES
UVRAG,NO,YES
MTCH2,NO,YES
KLHDC3,NO,YES
SLCO5A1,NO,YES
HUWE1,NO,YES
COX4I2,NO,YES
TEF,NO,YES
FOXN4,NO,YES
IRF1,NO,YES
AMOTL2,NO,YES
PINX1,NO,YES
ST6GAL1,NO,YES
EMID2,NO,YES
SHB,NO,YES
PPP1R9A,NO,YES
ZC3H6,NO,YES
LDB1,NO,YES
TCEAL7,NO,YES
FAM107B,NO,YES
KIAA2026,NO,YES
SLC38A3,NO,YES
THRB,NO,YES
PEBP4,NO,YES
SYT5,NO,YES
EGR2,NO,YES
FAM19A5,NO,YES
GPR25,NO,YES
BARX2,NO,YES
ZIC4,NO,YES
TFAP2B,NO,YES
FBL,NO,YES
PPARGC1B,NO,YES
ZFP36L1,NO,YES
TLE4,NO,YES
WDR27,NO,YES
ZBTB10,NO,YES
ELAVL3,NO,YES
WNT11,NO,YES
DUSP9,NO,YES
TFAP4,NO,YES
NPAS1,NO,YES
JAKMIP1,NO,YES
VPS11,NO,YES
LHX9,NO,YES
ULK1,NO,YES
XRN2,NO,YES
NEDD4L,NO,YES
BAZ2B,NO,YES
CIITA,NO,YES
ACTC1,NO,YES
TSC22D1,NO,YES
RTN4R,NO,YES
LHX2,NO,YES
NFIX,NO,YES
DLGAP4,NO,YES
EEA1,NO,YES
EPO,NO,YES
ST3GAL4,NO,YES
TSC22D4,NO,YES
RAB24,NO,YES
NPAS2,NO,YES
FBXL16,NO,YES
PHLPP,NO,YES
PRMT8,NO,YES
RELB,NO,YES
SLC35A3,NO,YES
CASZ1,NO,YES
POLR2H,NO,YES
ZNRF3,NO,YES
CAMKV,NO,YES
SIM2,NO,YES
PRDM13,NO,YES
SYPL1,NO,YES
CAMKK1,NO,YES
GRIA2,NO,YES
HPCAL4,NO,YES
NDUFB8,NO,YES
FRAG1,NO,YES
FOSB,NO,YES
LCOR,NO,YES
CCND2,NO,YES
KCNE4,NO,YES
PIR,NO,YES
PDCD10,NO,YES
MKLN1,NO,YES
CDKN2D,NO,YES
HTR1A,NO,YES
JOSD1,NO,YES
MYO9A,NO,YES
USP28,NO,YES
KIAA1602,NO,YES
PPP1R3B,NO,YES
ARNTL,NO,YES
DCTN4,NO,YES
PPP6C,NO,YES
SLC35E3,NO,YES
SLITRK3,NO,YES
LZTS2,NO,YES
GARNL4,NO,YES
MPPED2,NO,YES
FGF6,NO,YES
BAT5,NO,YES
APBB1,NO,YES
TMEFF2,NO,YES
FEZ1,NO,YES
RHEBL1,NO,YES
GOLSYN,NO,YES
WDR70,NO,YES
STK11,NO,YES
ANK3,NO,YES
ERBB4,NO,YES
TMEM55B,NO,YES
TNKS1BP1,NO,YES
PER1,NO,YES
PHF21B,NO,YES
NELL1,NO,YES
PER2,NO,YES
FOSL2,NO,YES
CNIH3,NO,YES
FHL3,NO,YES
STMN2,NO,YES
LONRF1,NO,YES
USH2A,NO,YES
ZNF521,NO,YES
PAQR9,NO,YES
ZFP36L2,NO,YES
MYO6,NO,YES
EXOC6B,NO,YES
DENND1A,NO,YES
GTPBP1,NO,YES
SYNGR1,NO,YES
MYH10,NO,YES
ASB1,NO,YES
GATA4,NO,YES
DIABLO,NO,YES
GPBP1,NO,YES
SEMA4D,NO,YES
SCN5A,NO,YES
CLPB,NO,YES
IRF2BP2,NO,YES
ARHGEF12,NO,YES
AJAP1,NO,YES
TSHZ3,NO,YES
KLF16,NO,YES
SOX6,NO,YES
CACNA1S,NO,YES
ZFP62,NO,YES
RHBDF1,NO,YES
BRWD3,NO,YES
YBX1,NO,YES
ATP6V1C1,NO,YES
BCL2,NO,YES
DCUN1D4,NO,YES
WDR26,NO,YES
ERF,NO,YES
CPLX3,NO,YES
TAGLN2,NO,YES
CLCN6,NO,YES
SFRS4,NO,YES
POLS,NO,YES
ARID3A,NO,YES
CANX,NO,YES
NPTN,NO,YES
HMGCR,NO,YES
HEY1,NO,YES
MAGED1,NO,YES
PGRMC2,NO,YES
EPHA5,NO,YES
WT1,NO,YES
ZNF532,NO,YES
PDCD6IP,NO,YES
ZDHHC23,NO,YES
COMMD3,NO,YES
KIDINS220,NO,YES
PARP8,NO,YES
TRIM8,NO,YES
SGIP1,NO,YES
TRIB2,NO,YES
EGR3,NO,YES
SFRS12,NO,YES
HIF3A,NO,YES
BTBD3,NO,YES
LMNA,NO,YES
RARB,NO,YES
SETD1A,NO,YES
ARHGAP26,NO,YES
PITX3,NO,YES
SERTAD1,NO,YES
BAHD1,NO,YES
AHDC1,NO,YES
HINT1,NO,YES
FLRT2,NO,YES
STT3B,NO,YES
HDAC3,NO,YES
KIF26A,NO,YES
MIDN,NO,YES
AP1S2,NO,YES
BLOC1S1,NO,YES
TGIF2,NO,YES
NCOA6,NO,YES
TSC1,NO,YES
MAP3K9,NO,YES
CUGBP2,NO,YES
EVX1,NO,YES
GDNF,NO,YES
EIF4EBP1,NO,YES
RPS28,NO,YES
BCL2L2,NO,YES
JAG1,NO,YES
DYRK1B,NO,YES
WNT2,NO,YES
CTSF,NO,YES
RNF126,NO,YES
RAD23B,NO,YES
NEUROG3,NO,YES
GRAMD1B,NO,YES
EPC1,NO,YES
FLG,NO,YES
CHIC1,NO,YES
NEUROG2,NO,YES
MADD,NO,YES
SLC43A1,NO,YES
FUBP3,NO,YES
TRPM7,NO,YES
OSBPL2,NO,YES
INSR,NO,YES
NFATC4,NO,YES
ARF1,NO,YES
ARHGAP12,NO,YES
PPM1A,NO,YES
JAG2,NO,YES
LATS2,NO,YES
CXXC5,NO,YES
CDON,NO,YES
CEBPD,NO,YES
HSDL1,NO,YES
EIF2AK3,NO,YES
MFSD1,NO,YES
COL2A1,NO,YES
RCHY1,NO,YES
LMCD1,NO,YES
LRP4,NO,YES
PURA,NO,YES
HOXA5,NO,YES
MLL5,NO,YES
PLEKHA7,NO,YES
TNKS,NO,YES
TMC4,NO,YES
NTRK2,NO,YES
ICAM4,NO,YES
PRKAR2B,NO,YES
SH3GL1,NO,YES
SIRT1,NO,YES
SLC30A1,NO,YES
LAMC3,NO,YES
REXO2,NO,YES
RNF149,NO,YES
LASS1,NO,YES
KLHL15,NO,YES
BRMS1L,NO,YES
FOXP1,NO,YES
RASGRP2,NO,YES
USP49,NO,YES
REST,NO,YES
BRD2,NO,YES
CREB5,NO,YES
ELF4,NO,YES
POU2F1,NO,YES
ATPBD4,NO,YES
ESPN,NO,YES
MMP11,NO,YES
CBFA2T2,NO,YES
HIBADH,NO,YES
RAB31,NO,YES
SAMD4A,NO,YES
STK4,NO,YES
CAPZA2,NO,YES
PAX2,NO,YES
RALBP1,NO,YES
CD164,NO,YES
TGFB1,NO,YES
SLC41A1,NO,YES
SLC6A17,NO,YES
DLX2,NO,YES
TOM1,NO,YES
GOLGA1,NO,YES
ARHGEF17,NO,YES
TCEAL1,NO,YES
SLC11A2,NO,YES
ADCY2,NO,YES
FST,NO,YES
BTAF1,NO,YES
ITGA9,NO,YES
WNK3,NO,YES
NEO1,NO,YES
WDR72,NO,YES
LRRC42,NO,YES
BMP4,NO,YES
LHFP,NO,YES
RNF170,NO,YES
FLJ10404,NO,YES
CHRM4,NO,YES
ANK1,NO,YES
SPSB4,NO,YES
FOXE3,NO,YES
DENND4B,NO,YES
PHC3,NO,YES
GTDC1,NO,YES
CPEB2,NO,YES
BEX1,NO,YES
MEIS1,NO,YES
MLXIP,NO,YES
NMNAT3,NO,YES
KIAA1737,NO,YES
NBL1,NO,YES
CDK5R2,NO,YES
OSBPL8,NO,YES
TRIM9,NO,YES
ZCCHC7,NO,YES
ICAM5,NO,YES
SCHIP1,NO,YES
ARMCX6,NO,YES
NR4A1,NO,YES
DPYSL2,NO,YES
KIAA1024,NO,YES
MYB,NO,YES
BRE,NO,YES
NGFRAP1,NO,YES
CADPS,NO,YES
SMAD2,NO,YES
PLXNA1,NO,YES
BTF3L4,NO,YES
IGSF21,NO,YES
CFL1,NO,YES
CDKN1A,NO,YES
MEF2D,NO,YES
DYRK1A,NO,YES
SSBP2,NO,YES
HES1,NO,YES
FRMD6,NO,YES
VEGFC,NO,YES
AXIN1,NO,YES
LRRC29,NO,YES
PKN1,NO,YES
RAB9A,NO,YES
TNR,NO,YES
KLF9,NO,YES
RHOA,NO,YES
LCK,NO,YES
STK39,NO,YES
ARMCX1,NO,YES
PROK2,NO,YES
PPFIBP2,NO,YES
PLA2G6,NO,YES
CELSR1,NO,YES
PICALM,NO,YES
AFF4,NO,YES
TNKS2,NO,YES
ANKRD28,NO,YES
ARHGEF19,NO,YES
MTX3,NO,YES
CKMT2,NO,YES
RASSF2,NO,YES
MPP5,NO,YES
NCOR2,NO,YES
MLLT10,NO,YES
ROBO2,NO,YES
NR5A1,NO,YES
PTMA,NO,YES
FAF1,NO,YES
PHIP,NO,YES
TOX,NO,YES
MDS1,NO,YES
ZFP91,NO,YES
THSD4,NO,YES
COL5A1,NO,YES
PPP1R12C,NO,YES
GAL,NO,YES
HOXA9,NO,YES
FRAS1,NO,YES
PDE4D,NO,YES
MYH9,NO,YES
FGF12,NO,YES
CDH13,NO,YES
TNPO3,NO,YES
TGFB2,NO,YES
PTP4A3,NO,YES
KIF26B,NO,YES
COLEC12,NO,YES
BOK,NO,YES
LEMD3,NO,YES
PAK7,NO,YES
RAVER1,NO,YES
RPL41,NO,YES
RRAGC,NO,YES
EFNA1,NO,YES
NPM1,NO,YES
TFG,NO,YES
EPHB1,NO,YES
BCORL1,NO,YES
HEY2,NO,YES
PRKCZ,NO,YES
ASCL2,NO,YES
DOCK3,NO,YES
MEIS2,NO,YES
PTGFRN,NO,YES
CLYBL,NO,YES
RBM4B,NO,YES
TTC21A,NO,YES
NOMO1,NO,YES
SYT12,NO,YES
PCDH10,NO,YES
SPRED2,NO,YES
GPR176,NO,YES
RAB3IL1,NO,YES
PTCH1,NO,YES
RPUSD4,NO,YES
FAM131B,NO,YES
COL27A1,NO,YES
OTUD5,NO,YES
HOXA7,NO,YES
ARFGAP3,NO,YES
NUDT10,NO,YES
ARID5A,NO,YES
GABRE,NO,YES
FCHO2,NO,YES
FGF5,NO,YES
FAM120C,NO,YES
PCNT,NO,YES
RGS16,NO,YES
DCHS1,NO,YES
MMP24,NO,YES
LYSMD3,NO,YES
SH2D5,NO,YES
RAB5A,NO,YES
TLE3,NO,YES
APLN,NO,YES
ARMCX3,NO,YES
SH2B2,NO,YES
SPEG,NO,YES
CSMD1,NO,YES
ISL2,NO,YES
PDE4A,NO,YES
EBF2,NO,YES
FXYD2,NO,YES
LDHC,NO,YES
ELAVL2,NO,YES
CRLF1,NO,YES
MAN2B1,NO,YES
SYT17,NO,YES
PAX7,NO,YES
TAC1,NO,YES
SPON1,NO,YES
SPOCK3,NO,YES
SHC2,NO,YES
KIAA1199,NO,YES
TCTA,NO,YES
FBXO32,NO,YES
ELK4,NO,YES
TBC1D12,NO,YES
HIST1H2BC,NO,YES
FSTL3,NO,YES
FAM20C,NO,YES
PVALB,NO,YES
EOMES,NO,YES
ALCAM,NO,YES
JAKMIP2,NO,YES
RAB8B,NO,YES
YIPF3,NO,YES
DTNB,NO,YES
PCDH8,NO,YES
ZNF295,NO,YES
FNDC5,NO,YES
MYNN,NO,YES
RGS8,NO,YES
PCDH9,NO,YES
FGD6,NO,YES
SAMD1,NO,YES
SSBP4,NO,YES
FTO,NO,YES
KCND3,NO,YES
CBLB,NO,YES
RAB21,NO,YES
ATXN7L2,NO,YES
SLC12A7,NO,YES
KCNA1,NO,YES
PHF1,NO,YES
SEC63,NO,YES
NEFM,NO,YES
HNRPDL,NO,YES
YTHDC1,NO,YES
RIMBP2,NO,YES
NDUFA4,NO,YES
SHANK3,NO,YES
CRKL,NO,YES
UAP1,NO,YES
MYST4,NO,YES
ZIC2,NO,YES
RNF128,NO,YES
SLC4A4,NO,YES
MYST3,NO,YES
DMXL2,NO,YES
SATB1,NO,YES
DHDDS,NO,YES
MAF,NO,YES
LOC26010,NO,YES
SLIT1,NO,YES
SLC14A2,NO,YES
IMMT,NO,YES
PTPRN2,NO,YES
PVRL1,NO,YES
TMEM57,NO,YES
CHN2,NO,YES
RAPGEF5,NO,YES
CEP170,NO,YES
DPYD,NO,YES
BAI2,NO,YES
KCNJ4,NO,YES
DAB2IP,NO,YES
ZBTB16,NO,YES
SLC17A6,NO,YES
SLC6A2,NO,YES
BTBD2,NO,YES
BMPR1A,NO,YES
OBSCN,NO,YES
OLFM2,NO,YES
MGLL,NO,YES
IRX4,NO,YES
YIPF5,NO,YES
MICAL3,NO,YES
PRDM2,NO,YES
GCLC,NO,YES
ZDHHC17,NO,YES
ZFAND3,NO,YES
SNX13,NO,YES
ABCA1,NO,YES
FOSL1,NO,YES
SPRED1,NO,YES
CYP26A1,NO,YES
SFRS9,NO,YES
SETBP1,NO,YES
VPS8,NO,YES
KLHL26,NO,YES
PDE10A,NO,YES
POU3F1,NO,YES
TSPAN9,NO,YES
FAM70A,NO,YES
PDIA5,NO,YES
FXYD6,NO,YES
UCHL1,NO,YES
ETS1,NO,YES
STXBP1,NO,YES
IHH,NO,YES
AXL,NO,YES
SEC23A,NO,YES
FYTTD1,NO,YES
COL1A2,NO,YES
RBMS1,NO,YES
RAI14,NO,YES
BATF2,NO,YES
MAST1,NO,YES
TBX1,NO,YES
IFT172,NO,YES
NR1D2,NO,YES
SIN3A,NO,YES
LMBR1L,NO,YES
KHDRBS1,NO,YES
TCHH,NO,YES
CD63,NO,YES
PPP2R2C,NO,YES
CADM1,NO,YES
HS3ST3A1,NO,YES
KIAA1539,NO,YES
BAT3,NO,YES
STX12,NO,YES
HERPUD1,NO,YES
SNAP25,NO,YES
REL,NO,YES
CLCN3,NO,YES
CRY2,NO,YES
ETV5,NO,YES
CITED1,NO,YES
FAP,NO,YES
LHX8,NO,YES
PRDX5,NO,YES
ARHGEF9,NO,YES
TMCC1,NO,YES
DPF1,NO,YES
KCNK1,NO,YES
TRAM1,NO,YES
NRBP2,NO,YES
LY6G6D,NO,YES
ANKRD27,NO,YES
YPEL4,NO,YES
ENTPD5,NO,YES
PEA15,NO,YES
KIAA0355,NO,YES
NPNT,NO,YES
RANBP10,NO,YES
OSBP2,NO,YES
ATXN3,NO,YES
OSBPL10,NO,YES
ONECUT1,NO,YES
MORF4L1,NO,YES
HAND1,NO,YES
THAP4,NO,YES
RRAGB,NO,YES
SNCB,NO,YES
ACCN4,NO,YES
ARHGEF10,NO,YES
LGR5,NO,YES
ATP11B,NO,YES
BTG3,NO,YES
ZFPL1,NO,YES
OVOL1,NO,YES
PTPRO,NO,YES
ANK2,NO,YES
RBM3,NO,YES
LDLRAD3,NO,YES
PDE4B,NO,YES
ANKRD9,NO,YES
KCTD6,NO,YES
BRUNOL6,NO,YES
COMTD1,NO,YES
GNS,NO,YES
MEF2C,NO,YES
TMEFF1,NO,YES
RIF1,NO,YES
ZFP161,NO,YES
VPS37B,NO,YES
KCNMB2,NO,YES
CAMK2B,NO,YES
CSDE1,NO,YES
ZNF787,NO,YES
LEF1,NO,YES
CPE,NO,YES
NKX2-2,NO,YES
MLLT3,NO,YES
P2RY1,NO,YES
RAB3A,NO,YES
KLF5,NO,YES
ARCN1,NO,YES
SLC44A4,NO,YES
RYR3,NO,YES
SH3PXD2A,NO,YES
ARL3,NO,YES
XPOT,NO,YES
FAM102A,NO,YES
KCNA6,NO,YES
GPX4,NO,YES
NR3C2,NO,YES
CYP2W1,NO,YES
FOXP4,NO,YES
FLNB,NO,YES
ZNF451,NO,YES
NEUROD1,NO,YES
VGF,NO,YES
PRR7,NO,YES
ABCA4,NO,YES
DYRK2,NO,YES
TSPAN5,NO,YES
RHBDD1,NO,YES
ACVR1C,NO,YES
EED,NO,YES
SALL4,NO,YES
EPB41L4B,NO,YES
SLIT3,NO,YES
UBA52,NO,YES
RAD51L1,NO,YES
TCEAL8,NO,YES
KIAA0247,NO,YES
ROBO1,NO,YES
NEB,NO,YES
SMAD3,NO,YES
FAM46B,NO,YES
DUSP5,NO,YES
ZKSCAN2,NO,YES
TNIK,NO,YES
MTCH1,NO,YES
MAFB,NO,YES
SEMA3B,NO,YES
SLC35F3,NO,YES
ALDH18A1,NO,YES
DUSP7,NO,YES
EXOC1,NO,YES
RAB33A,NO,YES
GPHN,NO,YES
TES,NO,YES
EIF1B,NO,YES
ABR,NO,YES
PLAG1,NO,YES
SEC24C,NO,YES
DEDD2,NO,YES
KIF2A,NO,YES
SMTN,NO,YES
CBLN1,NO,YES
ARRB2,NO,YES
NPY5R,NO,YES
PSD,NO,YES
SASH1,NO,YES
CABLES1,NO,YES
PAPD4,NO,YES
JAZF1,NO,YES
CBX7,NO,YES
LRP1,NO,YES
TFEB,NO,YES
SFMBT2,NO,YES
CTHRC1,NO,YES
RCN1,NO,YES
TRPV3,NO,YES
NAP1L1,NO,YES
NUDT22,NO,YES
STK24,NO,YES
WNT10B,NO,YES
PDX1,NO,YES
MCFD2,NO,YES
EMILIN2,NO,YES
NXN,NO,YES
ADRA2B,NO,YES
FBXL15,NO,YES
GALE,NO,YES
KLF11,NO,YES
LRDD,NO,YES
SYT3,NO,YES
DRD1,NO,YES
COL12A1,NO,YES
TRAF3IP2,NO,YES
FHL1,NO,YES
VAC14,NO,YES
LZTFL1,NO,YES
LARP2,NO,YES
FBXW4,NO,YES
PLXNA3,NO,YES
SERPINH1,NO,YES
MAP2K5,NO,YES
ASS1,NO,YES
PCSK9,NO,YES
EDN2,NO,YES
LMOD1,NO,YES
CEBPB,NO,YES
SNAPC2,NO,YES
SPTY2D1,NO,YES
ARFIP1,NO,YES
LIF,NO,YES
EPB41L1,NO,YES
CHKB,NO,YES
COLQ,NO,YES
MCTP2,NO,YES
EPHA2,NO,YES
SLC1A2,NO,YES
TMEM106C,NO,YES
NPAS4,NO,YES
ADAM12,NO,YES
CNN3,NO,YES
WDR33,NO,YES
TRAM2,NO,YES
OPRD1,NO,YES
VDAC2,NO,YES
ALX3,NO,YES
PLCG2,NO,YES
CUL7,NO,YES
BTD,NO,YES
IER3IP1,NO,YES
CPT1B,NO,YES
CDK8,NO,YES
ETNK1,NO,YES
SYNE2,NO,YES
NAB1,NO,YES
GARS,NO,YES
SNX3,NO,YES
ARIH1,NO,YES
G3BP2,NO,YES
PTP4A2,NO,YES
DLL1,NO,YES
SPRY4,NO,YES
PCNP,NO,YES
TRIP10,NO,YES
YY1,NO,YES
GRM1,NO,YES
ATP2B2,NO,YES
PCTK2,NO,YES
ERGIC1,NO,YES
DOHH,NO,YES
SMAD6,NO,YES
CAMK1D,NO,YES
UFC1,NO,YES
CMIP,NO,YES
DUSP4,NO,YES
ACVR1,NO,YES
WDR41,NO,YES
RREB1,NO,YES
DNAH9,NO,YES
RGNEF,NO,YES
MAN1A2,NO,YES
VAPB,NO,YES
INPP5A,NO,YES
DRD2,NO,YES
SGCE,NO,YES
CTNNBL1,NO,YES
PPP2R3A,NO,YES
KCNH7,NO,YES
NSBP1,NO,YES
SKIL,NO,YES
HIST1H4H,NO,YES
GPR3,NO,YES
PAPPA2,NO,YES
DERL1,NO,YES
KIAA0284,NO,YES
ZFYVE9,NO,YES
FOXF1,NO,YES
KIAA1324L,NO,YES
DNM2,NO,YES
ADAM9,NO,YES
DOT1L,NO,YES
FLJ14213,NO,YES
TBX5,NO,YES
ABLIM3,NO,YES
PNMA2,NO,YES
LPP,NO,YES
LDB3,NO,YES
RORB,NO,YES
PACS1,NO,YES
CPLX2,NO,YES
HSH2D,NO,YES
ZFPM2,NO,YES
RBM15,NO,YES
CLGN,NO,YES
CDKN1C,NO,YES
AP3B2,NO,YES
MLL,NO,YES
LRRC4C,NO,YES
SELM,NO,YES
GBA3,NO,YES
NDEL1,NO,YES
MFHAS1,NO,YES
KCNT1,NO,YES
RNF180,NO,YES
EFTUD1,NO,YES
DNM3,NO,YES
GMPPA,NO,YES
RAB6A,NO,YES
TRADD,NO,YES
TMEM39A,NO,YES
RPL7,NO,YES
MPPED1,NO,YES
AKAP12,NO,YES
RALGDS,NO,YES
SLC1A1,NO,YES
NXPH4,NO,YES
MGMT,NO,YES
PDPK1,NO,YES
SULF1,NO,YES
GOLT1B,NO,YES
KREMEN1,NO,YES
